date_ddmmyyyy,time_hhmm,vehicles,pedestrians,notes
01/05/2020,07:12,19,16,
01/05/2020,09:30,40,13,
01/05/2020,08:46,40,24,
01/05/2020,10:09,35,32,
21/04/2020,16:49,42,58,
21/04/2020,17:36,40,27,
21/04/2020,18:50,35,45,
21/04/2020,19:33,30,40,
21/04/2020,20:29,27,35,
21/04/2020,21:03,13,15,
25/04/2020,07:22,14,2,
25/04/2020,08:54,25,14,
25/04/2020,09:52,21,16,
25/04/2020,10:56,35,38,
25/04/2020,15:00,43,31,
25/04/2020,16:01,45,61,
25/04/2020,17:15,65,53,
25/04/2020,18:10,35,40,
25/04/2020,20:05,25,37,
25/04/2020,22:13,9,2,
25/04/2020,23:06,9,4,
26/04/2020,00:58,5,1,
26/04/2020,01:59,2,0,
26/04/2020,02:44,1,1,
26/04/2020,09:18,13,13,
26/04/2020,10:09,22,15,
26/04/2020,12:23,42,37,
26/04/2020,13:34,45,36,
26/04/2020,14:34,30,40,
26/04/2020,15:10,50,40,
26/04/2020,16:14,20,25,
26/04/2020,18:51,20,19,
26/04/2020,19:30,28,12,
26/04/2020,20:22,16,9,
27/04/2020,03:43,0,1,
27/04/2020,04:01,1,0,
27/04/2020,05:10,5,0,
27/04/2020,06:15,11,1,
27/04/2020,07:39,29,9,
27/04/2020,08:17,38,33,
27/04/2020,15:26,37,33,
27/04/2020,16:06,55,35,
27/04/2020,17:45,45,48,
27/04/2020,18:00,40,40,
27/04/2020,19:52,25,35,
01/05/2020,13:14,55,25,
01/05/2020,14:10,40,27,
01/05/2020,17:01,55,24,
01/05/2020,18:12,65,34,
01/05/2020,23:24,9,0,
02/05/2020,02:55,1,0,
02/05/2020,03:41,2,0,
02/05/2020,04:19,2,0,
02/05/2020,05:08,3,0,
02/05/2020,06:35,14,0,
02/05/2020,13:55,35,42,
02/05/2020,14:35,45,50,
03/05/2020,03:26,1,0,
03/05/2020,04:02,0,0,
03/05/2020,05:47,7,2,
03/05/2020,06:40,10,3,
03/05/2020,07:43,7,1,
03/05/2020,08:05,10,5,
03/05/2020,09:36,13,31,
03/05/2020,15:06,27,52,
03/05/2020,16:15,45,45,
03/05/2020,17:41,35,56,
03/05/2020,18:56,32,33,
03/05/2020,19:03,33,28,
08/05/2020,07:47,35,21,
08/05/2020,08:40,43,42,
08/05/2020,09:42,40,20,
08/05/2020,10:05,45,16,
08/05/2020,13:47,55,45,
08/05/2020,14:26,85,33,
08/05/2020,17:06,65,70,
08/05/2020,18:15,40,38,
09/05/2020,03:44,4,0,
09/05/2020,04:42,4,0,
09/05/2020,05:51,7,5,
09/05/2020,06:57,19,4,
09/05/2020,07:14,8,4,
09/05/2020,08:05,24,8,
09/05/2020,16:43,34,67,
09/05/2020,17:35,43,70,
09/05/2020,18:11,65,33,
09/05/2020,19:44,36,32,
09/05/2020,22:57,4,3,
09/05/2020,23:09,5,0,
10/05/2020,02:32,4,0,
10/05/2020,10:36,24,22,
10/05/2020,11:35,31,25,
10/05/2020,12:10,37,25,
12/05/2020,20:59,18,30,
16/05/2020,01:46,2,1,
16/05/2020,02:51,3,0,
16/05/2020,03:44,1,0,
16/05/2020,04:42,3,0,
16/05/2020,05:51,1,0,
16/05/2020,12:29,42,41,
16/05/2020,13:07,55,49,
16/05/2020,14:45,60,57,
16/05/2020,15:23,65,70,
16/05/2020,16:43,50,65,
17/05/2020,06:53,10,0,
17/05/2020,07:29,10,0,
17/05/2020,08:04,15,8,
17/05/2020,09:35,27,25,
17/05/2020,13:33,45,50,
17/05/2020,14:14,45,50,
17/05/2020,15:54,61,49,
17/05/2020,18:53,30,26,
17/05/2020,19:59,35,24,
17/05/2020,20:36,27,10,
17/05/2020,22:22,13,6,
17/05/2020,23:24,6,2,
18/05/2020,02:36,1,0,
18/05/2020,03:46,0,0,
18/05/2020,04:41,4,1,
18/05/2020,12:22,53,22,
18/05/2020,13:41,70,22,
18/05/2020,14:10,80,19,
18/05/2020,18:28,65,37,
18/05/2020,19:20,45,24,
19/05/2020,05:05,7,2,
19/05/2020,06:49,34,6,
19/05/2020,07:33,45,7,
19/05/2020,08:44,50,23,
19/05/2020,09:36,50,16,
19/05/2020,10:39,50,26,
19/05/2020,12:41,50,30,
19/05/2020,17:12,75,53,
19/05/2020,18:00,60,49,
19/05/2020,19:05,55,39,
